symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923523953,17923523998,10,15259.50,15259.75,$50.00,09/07/2023 13:18:07,09/07/2023 13:20:38,2min 31sec
NQU3,-2,0,0.25,17923524009,17923524071,10,15269.50,15267.50,$(400.00),09/07/2023 13:21:23,09/07/2023 13:22:57,1min 33sec
NQU3,-2,0,0.25,17923524102,17923524082,5,15267.50,15267.75,$25.00,09/07/2023 13:23:15,09/07/2023 13:23:02,13sec
NQU3,-2,0,0.25,17923524110,17923524082,5,15267.75,15267.75,$0.00,09/07/2023 13:23:15,09/07/2023 13:23:02,13sec
NQU3,-2,0,0.25,17923524149,17923524121,10,15268.75,15264.75,$(800.00),09/07/2023 13:23:44,09/07/2023 13:23:27,17sec
NQU3,-2,0,0.25,17923524176,17923524160,10,15255.50,15255.75,$50.00,09/07/2023 13:39:58,09/07/2023 13:39:32,25sec
NQU3,-2,0,0.25,17923524209,17923524190,1,15253.00,15253.50,$10.00,09/07/2023 13:41:45,09/07/2023 13:41:28,17sec
NQU3,-2,0,0.25,17923524217,17923524190,9,15253.25,15253.50,$45.00,09/07/2023 13:41:45,09/07/2023 13:41:28,17sec
NQU3,-2,0,0.25,17923524272,17923524231,10,15261.25,15254.25,"$(1,400.00)",09/07/2023 13:43:36,09/07/2023 13:42:00,1min 36sec
NQU3,-2,0,0.25,17923524283,17923524303,1,15261.50,15262.25,$15.00,09/07/2023 13:43:37,09/07/2023 13:43:48,11sec
NQU3,-2,0,0.25,17923524283,17923524311,9,15261.50,15261.75,$45.00,09/07/2023 13:43:37,09/07/2023 13:43:48,11sec
NQU3,-2,0,0.25,17923524322,17923524357,10,15267.00,15268.75,$350.00,09/07/2023 13:43:56,09/07/2023 13:44:43,46sec
NQU3,-2,0,0.25,17923524384,17923524368,2,15268.50,15269.50,$40.00,09/07/2023 13:45:05,09/07/2023 13:44:56,8sec
NQU3,-2,0,0.25,17923524392,17923524368,8,15268.75,15269.50,$120.00,09/07/2023 13:45:05,09/07/2023 13:44:56,8sec
NQU3,-2,0,0.25,17923524453,17923524409,6,15272.50,15273.25,$90.00,09/07/2023 13:48:38,09/07/2023 13:47:25,1min 12sec
NQU3,-2,0,0.25,17923524461,17923524409,2,15272.50,15273.25,$30.00,09/07/2023 13:48:38,09/07/2023 13:47:25,1min 13sec
NQU3,-2,0,0.25,17923524469,17923524409,1,15272.50,15273.25,$15.00,09/07/2023 13:48:51,09/07/2023 13:47:25,1min 26sec
NQU3,-2,0,0.25,17923524477,17923524409,1,15272.50,15273.25,$15.00,09/07/2023 13:48:52,09/07/2023 13:47:25,1min 26sec
NQU3,-2,0,0.25,17923524515,17923524491,10,15273.25,15273.50,$50.00,09/07/2023 13:51:33,09/07/2023 13:51:06,26sec
NQU3,-2,0,0.25,17923524606,17923524530,10,15275.50,15279.25,$750.00,09/07/2023 13:57:10,09/07/2023 13:54:02,3min 8sec
NQU3,-2,0,0.25,17923524677,17923524617,2,15293.00,15276.50,$(660.00),09/07/2023 14:02:50,09/07/2023 13:57:54,4min 56sec
NQU3,-2,0,0.25,17923524685,17923524617,6,15293.00,15276.50,"$(1,980.00)",09/07/2023 14:02:50,09/07/2023 13:57:54,4min 56sec
NQU3,-2,0,0.25,17923524701,17923524617,2,15292.00,15276.50,$(620.00),09/07/2023 14:02:57,09/07/2023 13:57:54,5min 2sec
NQU3,-2,0,0.25,17923524748,17923524712,10,15286.75,15290.75,$800.00,09/07/2023 14:03:44,09/07/2023 14:03:17,27sec
NQU3,-2,0,0.25,17923524830,17923524762,1,15272.75,15273.50,$15.00,09/07/2023 14:20:29,09/07/2023 14:12:22,8min 7sec
NQU3,-2,0,0.25,17923524838,17923524762,3,15272.75,15273.50,$45.00,09/07/2023 14:20:30,09/07/2023 14:12:22,8min 7sec
NQU3,-2,0,0.25,17923524846,17923524762,6,15273.00,15273.50,$60.00,09/07/2023 14:20:30,09/07/2023 14:12:22,8min 7sec
NQU3,-2,0,0.25,17923524903,17923524860,10,15265.75,15268.75,$600.00,09/07/2023 14:25:51,09/07/2023 14:24:27,1min 24sec
NQU3,-2,0,0.25,17923524979,17923524914,1,15264.00,15265.50,$30.00,09/07/2023 14:28:41,09/07/2023 14:26:31,2min 9sec
NQU3,-2,0,0.25,17923525003,17923524914,9,15262.50,15265.50,$540.00,09/07/2023 14:28:47,09/07/2023 14:26:31,2min 16sec
NQU3,-2,0,0.25,17923525050,17923525014,10,15258.00,15261.75,$750.00,09/07/2023 14:29:22,09/07/2023 14:28:58,24sec
NQU3,-2,0,0.25,17923525099,17923525067,10,15253.25,15255.50,$450.00,09/07/2023 14:30:06,09/07/2023 14:29:35,31sec
NQU3,-2,0,0.25,17923525132,17923525113,1,15247.75,15248.00,$5.00,09/07/2023 14:33:45,09/07/2023 14:33:10,35sec
NQU3,-2,0,0.25,17923525140,17923525113,5,15247.75,15248.00,$25.00,09/07/2023 14:33:45,09/07/2023 14:33:10,35sec
NQU3,-2,0,0.25,17923525148,17923525113,4,15248.25,15248.00,$(20.00),09/07/2023 14:33:45,09/07/2023 14:33:10,35sec
NQU3,-2,0,0.25,17923525230,17923525162,2,15257.50,15247.00,$(420.00),09/07/2023 14:41:01,09/07/2023 14:36:50,4min 10sec
NQU3,-2,0,0.25,17923525238,17923525162,8,15257.75,15247.00,"$(1,720.00)",09/07/2023 14:41:01,09/07/2023 14:36:50,4min 11sec
NQU3,-2,0,0.25,17923525253,17923525285,1,15265.00,15265.25,$5.00,09/07/2023 14:43:42,09/07/2023 14:44:28,45sec
NQU3,-2,0,0.25,17923525253,17923525297,2,15265.00,15266.25,$50.00,09/07/2023 14:43:42,09/07/2023 14:44:34,51sec
NQU3,-2,0,0.25,17923525253,17923525305,1,15265.00,15266.25,$25.00,09/07/2023 14:43:42,09/07/2023 14:44:34,51sec
NQU3,-2,0,0.25,17923525253,17923525313,6,15265.00,15266.00,$120.00,09/07/2023 14:43:42,09/07/2023 14:44:34,52sec
NQU3,-2,0,0.25,17923525351,17923525327,1,15266.75,15267.25,$10.00,09/07/2023 14:45:29,09/07/2023 14:45:12,16sec
NQU3,-2,0,0.25,17923525359,17923525327,9,15267.50,15267.25,$(45.00),09/07/2023 14:45:29,09/07/2023 14:45:12,16sec
NQU3,-2,0,0.25,17923525504,17923525373,10,15263.75,15266.00,$450.00,09/07/2023 15:09:10,09/07/2023 14:46:22,22min 47sec
NQU3,-2,0,0.25,17923525518,17923525558,4,15274.50,15275.00,$40.00,09/07/2023 15:11:01,09/07/2023 15:11:36,34sec
NQU3,-2,0,0.25,17923525518,17923525566,1,15274.50,15275.00,$10.00,09/07/2023 15:11:01,09/07/2023 15:11:38,37sec
NQU3,-2,0,0.25,17923525518,17923525574,1,15274.50,15275.00,$10.00,09/07/2023 15:11:01,09/07/2023 15:11:39,37sec
NQU3,-2,0,0.25,17923525518,17923525582,1,15274.50,15275.00,$10.00,09/07/2023 15:11:01,09/07/2023 15:11:41,39sec
NQU3,-2,0,0.25,17923525518,17923525598,3,15274.50,15275.75,$75.00,09/07/2023 15:11:01,09/07/2023 15:11:48,46sec
NQU3,-2,0,0.25,17923525609,17923525615,5,15281.50,15282.50,$100.00,09/07/2023 15:12:03,09/07/2023 15:12:04,1sec
NQU3,-2,0,0.25,17923525609,17923525623,5,15281.50,15282.50,$100.00,09/07/2023 15:12:03,09/07/2023 15:12:05,1sec
NQU3,-2,0,0.25,17923525640,17923525676,1,15276.25,15276.75,$10.00,09/07/2023 15:12:28,09/07/2023 15:13:03,35sec
